,Confluence,DMax,Date,Delay,ReplicateId,Time,WellId,DrugConcentration
173,46.1104,100,8/17/2019 6:43:00 PM,100,2,102.566666666667,E7,100.0
174,86.87574000000001,100,8/17/2019 6:43:00 PM,0,3,102.566666666667,F2,0.0
175,29.203895000000003,100,8/17/2019 6:43:00 PM,1,3,102.566666666667,F3,0.0
176,36.20134,100,8/17/2019 6:43:00 PM,2,3,102.566666666667,F4,0.0
177,25.797939999999997,100,8/17/2019 6:43:00 PM,4,3,102.566666666667,F5,0.0
178,31.212795,100,8/17/2019 6:43:00 PM,7,3,102.566666666667,F6,100.0
179,39.313485,100,8/17/2019 6:43:00 PM,100,3,102.566666666667,F7,100.0
180,95.42372,50,8/18/2019 6:25:00 PM,0,1,126.266666666667,A2,0.0
181,68.861365,50,8/18/2019 6:25:00 PM,1,1,126.266666666667,A3,0.0
182,40.1567,50,8/18/2019 6:25:00 PM,2,1,126.266666666667,A4,0.0
183,46.42975,50,8/18/2019 6:25:00 PM,4,1,126.266666666667,A5,0.0
184,51.054115,50,8/18/2019 6:25:00 PM,7,1,126.266666666667,A6,50.0
185,49.014925,50,8/18/2019 6:25:00 PM,100,1,126.266666666667,A7,50.0
186,96.62680499999999,50,8/18/2019 6:25:00 PM,0,2,126.266666666667,B2,0.0
187,84.131165,50,8/18/2019 6:25:00 PM,1,2,126.266666666667,B3,0.0
188,63.963165000000004,50,8/18/2019 6:25:00 PM,2,2,126.266666666667,B4,0.0
189,49.997075,50,8/18/2019 6:25:00 PM,4,2,126.266666666667,B5,0.0
190,67.3736,50,8/18/2019 6:25:00 PM,7,2,126.266666666667,B6,50.0
191,55.703985,50,8/18/2019 6:25:00 PM,100,2,126.266666666667,B7,50.0
192,97.493545,50,8/18/2019 6:25:00 PM,0,3,126.266666666667,C2,0.0
193,82.167395,50,8/18/2019 6:25:00 PM,1,3,126.266666666667,C3,0.0
194,62.29608,50,8/18/2019 6:25:00 PM,2,3,126.266666666667,C4,0.0
195,66.482155,50,8/18/2019 6:25:00 PM,4,3,126.266666666667,C5,0.0
196,66.328375,50,8/18/2019 6:25:00 PM,7,3,126.266666666667,C6,50.0
197,52.15726,50,8/18/2019 6:25:00 PM,100,3,126.266666666667,C7,50.0
198,96.03016500000001,100,8/18/2019 6:25:00 PM,0,1,126.266666666667,D2,0.0
199,68.34434,100,8/18/2019 6:25:00 PM,1,1,126.266666666667,D3,0.0
200,55.552435,100,8/18/2019 6:25:00 PM,2,1,126.266666666667,D4,0.0
201,50.942679999999996,100,8/18/2019 6:25:00 PM,4,1,126.266666666667,D5,0.0
202,55.44999,100,8/18/2019 6:25:00 PM,7,1,126.266666666667,D6,100.0
203,45.88659,100,8/18/2019 6:25:00 PM,100,1,126.266666666667,D7,100.0
204,96.66791,100,8/18/2019 6:25:00 PM,0,2,126.266666666667,E2,0.0
205,69.13286000000001,100,8/18/2019 6:25:00 PM,1,2,126.266666666667,E3,0.0
206,60.03561499999999,100,8/18/2019 6:25:00 PM,2,2,126.266666666667,E4,0.0
207,43.39985,100,8/18/2019 6:25:00 PM,4,2,126.266666666667,E5,0.0
208,55.655495,100,8/18/2019 6:25:00 PM,7,2,126.266666666667,E6,100.0
209,47.53636,100,8/18/2019 6:25:00 PM,100,2,126.266666666667,E7,100.0
210,89.761505,100,8/18/2019 6:25:00 PM,0,3,126.266666666667,F2,0.0
211,44.031085000000004,100,8/18/2019 6:25:00 PM,1,3,126.266666666667,F3,0.0
212,41.04819,100,8/18/2019 6:25:00 PM,2,3,126.266666666667,F4,0.0
213,31.076389999999996,100,8/18/2019 6:25:00 PM,4,3,126.266666666667,F5,0.0
214,35.83195,100,8/18/2019 6:25:00 PM,7,3,126.266666666667,F6,100.0
215,42.307,100,8/18/2019 6:25:00 PM,100,3,126.266666666667,F7,100.0
216,96.420105,50,8/19/2019 5:39:00 PM,0,1,149.5,A2,0.0
217,84.24164999999999,50,8/19/2019 5:39:00 PM,1,1,149.5,A3,0.0
218,54.51115,50,8/19/2019 5:39:00 PM,2,1,149.5,A4,0.0
219,57.058769999999996,50,8/19/2019 5:39:00 PM,4,1,149.5,A5,0.0
220,41.916199999999996,50,8/19/2019 5:39:00 PM,7,1,149.5,A6,50.0
221,47.53418,50,8/19/2019 5:39:00 PM,100,1,149.5,A7,50.0
222,95.76173499999999,50,8/19/2019 5:39:00 PM,0,2,149.5,B2,0.0
223,92.76633,50,8/19/2019 5:39:00 PM,1,2,149.5,B3,0.0
224,79.15709,50,8/19/2019 5:39:00 PM,2,2,149.5,B4,0.0
225,65.977815,50,8/19/2019 5:39:00 PM,4,2,149.5,B5,0.0
226,62.625294999999994,50,8/19/2019 5:39:00 PM,7,2,149.5,B6,50.0
227,53.18374,50,8/19/2019 5:39:00 PM,100,2,149.5,B7,50.0
228,97.331245,50,8/19/2019 5:39:00 PM,0,3,149.5,C2,0.0
229,93.97007500000001,50,8/19/2019 5:39:00 PM,1,3,149.5,C3,0.0
230,83.965425,50,8/19/2019 5:39:00 PM,2,3,149.5,C4,0.0
231,78.394135,50,8/19/2019 5:39:00 PM,4,3,149.5,C5,0.0
232,60.021335,50,8/19/2019 5:39:00 PM,7,3,149.5,C6,50.0
233,51.42474,50,8/19/2019 5:39:00 PM,100,3,149.5,C7,50.0
234,96.851965,100,8/19/2019 5:39:00 PM,0,1,149.5,D2,0.0
235,87.61703499999999,100,8/19/2019 5:39:00 PM,1,1,149.5,D3,0.0
236,72.83998499999998,100,8/19/2019 5:39:00 PM,2,1,149.5,D4,0.0
237,67.041885,100,8/19/2019 5:39:00 PM,4,1,149.5,D5,0.0
238,54.388255,100,8/19/2019 5:39:00 PM,7,1,149.5,D6,100.0
239,41.48742,100,8/19/2019 5:39:00 PM,100,1,149.5,D7,100.0
240,96.67724999999999,100,8/19/2019 5:39:00 PM,0,2,149.5,E2,0.0
241,85.32673500000001,100,8/19/2019 5:39:00 PM,1,2,149.5,E3,0.0
242,77.654045,100,8/19/2019 5:39:00 PM,2,2,149.5,E4,0.0
243,57.26789000000001,100,8/19/2019 5:39:00 PM,4,2,149.5,E5,0.0
244,57.45107,100,8/19/2019 5:39:00 PM,7,2,149.5,E6,100.0
245,45.05067,100,8/19/2019 5:39:00 PM,100,2,149.5,E7,100.0
246,91.76604499999999,100,8/19/2019 5:39:00 PM,0,3,149.5,F2,0.0
247,59.211705,100,8/19/2019 5:39:00 PM,1,3,149.5,F3,0.0
248,55.34524,100,8/19/2019 5:39:00 PM,2,3,149.5,F4,0.0
249,37.58618,100,8/19/2019 5:39:00 PM,4,3,149.5,F5,0.0
250,32.926685000000006,100,8/19/2019 5:39:00 PM,7,3,149.5,F6,100.0
251,39.29242,100,8/19/2019 5:39:00 PM,100,3,149.5,F7,100.0
252,99.39649,50,8/20/2019 3:07:00 PM,0,1,170.966666666667,A2,0.0
253,92.75769,50,8/20/2019 3:07:00 PM,1,1,170.966666666667,A3,0.0
254,67.59162,50,8/20/2019 3:07:00 PM,2,1,170.966666666667,A4,0.0
255,56.68120499999999,50,8/20/2019 3:07:00 PM,4,1,170.966666666667,A5,0.0
256,48.34220499999999,50,8/20/2019 3:07:00 PM,7,1,170.966666666667,A6,0.0
257,54.360595,50,8/20/2019 3:07:00 PM,100,1,170.966666666667,A7,50.0
258,99.38411500000001,50,8/20/2019 3:07:00 PM,0,2,170.966666666667,B2,0.0
259,97.753035,50,8/20/2019 3:07:00 PM,1,2,170.966666666667,B3,0.0
260,89.006895,50,8/20/2019 3:07:00 PM,2,2,170.966666666667,B4,0.0
261,66.638265,50,8/20/2019 3:07:00 PM,4,2,170.966666666667,B5,0.0
262,64.746015,50,8/20/2019 3:07:00 PM,7,2,170.966666666667,B6,0.0
263,60.931174999999996,50,8/20/2019 3:07:00 PM,100,2,170.966666666667,B7,50.0
264,99.57097,50,8/20/2019 3:07:00 PM,0,3,170.966666666667,C2,0.0
265,97.23837,50,8/20/2019 3:07:00 PM,1,3,170.966666666667,C3,0.0
266,95.303735,50,8/20/2019 3:07:00 PM,2,3,170.966666666667,C4,0.0
267,81.70097000000001,50,8/20/2019 3:07:00 PM,4,3,170.966666666667,C5,0.0
268,65.766595,50,8/20/2019 3:07:00 PM,7,3,170.966666666667,C6,0.0
269,62.18127,50,8/20/2019 3:07:00 PM,100,3,170.966666666667,C7,50.0
270,99.607585,100,8/20/2019 3:07:00 PM,0,1,170.966666666667,D2,0.0
271,93.753665,100,8/20/2019 3:07:00 PM,1,1,170.966666666667,D3,0.0
272,88.00851,100,8/20/2019 3:07:00 PM,2,1,170.966666666667,D4,0.0
273,70.39588499999999,100,8/20/2019 3:07:00 PM,4,1,170.966666666667,D5,0.0
274,54.335364999999996,100,8/20/2019 3:07:00 PM,7,1,170.966666666667,D6,0.0
275,47.116325,100,8/20/2019 3:07:00 PM,100,1,170.966666666667,D7,100.0
276,99.145115,100,8/20/2019 3:07:00 PM,0,2,170.966666666667,E2,0.0
277,92.906175,100,8/20/2019 3:07:00 PM,1,2,170.966666666667,E3,0.0
278,90.38755,100,8/20/2019 3:07:00 PM,2,2,170.966666666667,E4,0.0
279,64.08693000000001,100,8/20/2019 3:07:00 PM,4,2,170.966666666667,E5,0.0
280,54.52907,100,8/20/2019 3:07:00 PM,7,2,170.966666666667,E6,0.0
281,48.229955000000004,100,8/20/2019 3:07:00 PM,100,2,170.966666666667,E7,100.0
282,97.33688000000001,100,8/20/2019 3:07:00 PM,0,3,170.966666666667,F2,0.0
283,72.89096,100,8/20/2019 3:07:00 PM,1,3,170.966666666667,F3,0.0
284,72.137925,100,8/20/2019 3:07:00 PM,2,3,170.966666666667,F4,0.0
285,36.480675000000005,100,8/20/2019 3:07:00 PM,4,3,170.966666666667,F5,0.0
286,14.453464999999998,100,8/20/2019 3:07:00 PM,7,3,170.966666666667,F6,0.0
287,40.935114999999996,100,8/20/2019 3:07:00 PM,100,3,170.966666666667,F7,100.0
324,99.791665,50,8/22/2019 11:42:00 PM,0,1,227.55,A2,0.0
325,97.9102,50,8/22/2019 11:42:00 PM,1,1,227.55,A3,0.0
326,89.795725,50,8/22/2019 11:42:00 PM,2,1,227.55,A4,0.0
327,85.26384,50,8/22/2019 11:42:00 PM,4,1,227.55,A5,0.0
328,67.81649999999999,50,8/22/2019 11:42:00 PM,7,1,227.55,A6,0.0
329,52.237854999999996,50,8/22/2019 11:42:00 PM,100,1,227.55,A7,50.0
330,99.68574,50,8/22/2019 11:42:00 PM,0,2,227.55,B2,0.0
331,99.083985,50,8/22/2019 11:42:00 PM,1,2,227.55,B3,0.0
332,97.104645,50,8/22/2019 11:42:00 PM,2,2,227.55,B4,0.0
333,90.57039,50,8/22/2019 11:42:00 PM,4,2,227.55,B5,0.0
334,83.03625,50,8/22/2019 11:42:00 PM,7,2,227.55,B6,0.0
335,52.537795,50,8/22/2019 11:42:00 PM,100,2,227.55,B7,50.0
336,99.755055,50,8/22/2019 11:42:00 PM,0,3,227.55,C2,0.0
337,98.329255,50,8/22/2019 11:42:00 PM,1,3,227.55,C3,0.0
338,98.690495,50,8/22/2019 11:42:00 PM,2,3,227.55,C4,0.0
339,96.37527,50,8/22/2019 11:42:00 PM,4,3,227.55,C5,0.0
340,82.649295,50,8/22/2019 11:42:00 PM,7,3,227.55,C6,0.0
341,58.223815,50,8/22/2019 11:42:00 PM,100,3,227.55,C7,50.0
342,99.88862,100,8/22/2019 11:42:00 PM,0,1,227.55,D2,0.0
343,97.54808,100,8/22/2019 11:42:00 PM,1,1,227.55,D3,0.0
344,97.874255,100,8/22/2019 11:42:00 PM,2,1,227.55,D4,0.0
345,92.98756499999999,100,8/22/2019 11:42:00 PM,4,1,227.55,D5,0.0
346,65.65303,100,8/22/2019 11:42:00 PM,7,1,227.55,D6,0.0
347,40.489745,100,8/22/2019 11:42:00 PM,100,1,227.55,D7,100.0
348,99.63539,100,8/22/2019 11:42:00 PM,0,2,227.55,E2,0.0
349,96.83629,100,8/22/2019 11:42:00 PM,1,2,227.55,E3,0.0
350,97.88838,100,8/22/2019 11:42:00 PM,2,2,227.55,E4,0.0
351,90.281135,100,8/22/2019 11:42:00 PM,4,2,227.55,E5,0.0
352,61.494125,100,8/22/2019 11:42:00 PM,7,2,227.55,E6,0.0
353,42.50232,100,8/22/2019 11:42:00 PM,100,2,227.55,E7,100.0
354,99.07874000000001,100,8/22/2019 11:42:00 PM,0,3,227.55,F2,0.0
355,88.86748499999999,100,8/22/2019 11:42:00 PM,1,3,227.55,F3,0.0
