,Confluence,Date,DrugDose,InitialCellNumber,ReplicateId,SeedingDensity,Time,WellId,CollectionFrequency,TimeInDays,CellLine
181,59.52823,5/16/2019 3:31:00 PM,1,5000,1,lowDensity,120.1,A3,1,5,A2780s
182,35.38469,5/16/2019 3:31:00 PM,10,5000,1,lowDensity,120.1,A4,1,5,A2780s
183,22.819642,5/16/2019 3:31:00 PM,25,5000,1,lowDensity,120.1,A5,1,5,A2780s
184,13.106662,5/16/2019 3:31:00 PM,50,5000,1,lowDensity,120.1,A6,1,5,A2780s
185,7.179624,5/16/2019 3:31:00 PM,100,5000,1,lowDensity,120.1,A7,1,5,A2780s
186,84.63483500000001,5/16/2019 3:31:00 PM,0,5000,2,lowDensity,120.1,B2,1,5,A2780s
187,71.97808,5/16/2019 3:31:00 PM,1,5000,2,lowDensity,120.1,B3,1,5,A2780s
188,43.83596,5/16/2019 3:31:00 PM,10,5000,2,lowDensity,120.1,B4,1,5,A2780s
189,30.555414999999996,5/16/2019 3:31:00 PM,25,5000,2,lowDensity,120.1,B5,1,5,A2780s
190,15.936978499999999,5/16/2019 3:31:00 PM,50,5000,2,lowDensity,120.1,B6,1,5,A2780s
191,5.977909,5/16/2019 3:31:00 PM,100,5000,2,lowDensity,120.1,B7,1,5,A2780s
192,75.56625,5/16/2019 3:31:00 PM,0,5000,3,lowDensity,120.1,C2,1,5,A2780s
193,90.375,5/16/2019 3:31:00 PM,1,5000,3,lowDensity,120.1,C3,1,5,A2780s
194,62.34883,5/16/2019 3:31:00 PM,10,5000,3,lowDensity,120.1,C4,1,5,A2780s
195,35.213969999999996,5/16/2019 3:31:00 PM,25,5000,3,lowDensity,120.1,C5,1,5,A2780s
196,15.804734999999999,5/16/2019 3:31:00 PM,50,5000,3,lowDensity,120.1,C6,1,5,A2780s
197,7.272740499999999,5/16/2019 3:31:00 PM,100,5000,3,lowDensity,120.1,C7,1,5,A2780s
198,99.99999,5/16/2019 3:31:00 PM,0,75000,1,highDensity,120.1,D2,1,5,A2780s
199,99.99999,5/16/2019 3:31:00 PM,1,75000,1,highDensity,120.1,D3,1,5,A2780s
200,99.96798,5/16/2019 3:31:00 PM,10,75000,1,highDensity,120.1,D4,1,5,A2780s
201,99.242715,5/16/2019 3:31:00 PM,25,75000,1,highDensity,120.1,D5,1,5,A2780s
202,95.037335,5/16/2019 3:31:00 PM,50,75000,1,highDensity,120.1,D6,1,5,A2780s
203,50.981399999999994,5/16/2019 3:31:00 PM,100,75000,1,highDensity,120.1,D7,1,5,A2780s
204,99.99999,5/16/2019 3:31:00 PM,0,75000,2,highDensity,120.1,E2,1,5,A2780s
205,99.99999,5/16/2019 3:31:00 PM,1,75000,2,highDensity,120.1,E3,1,5,A2780s
206,99.983345,5/16/2019 3:31:00 PM,10,75000,2,highDensity,120.1,E4,1,5,A2780s
207,95.02075500000001,5/16/2019 3:31:00 PM,25,75000,2,highDensity,120.1,E5,1,5,A2780s
208,84.37511,5/16/2019 3:31:00 PM,50,75000,2,highDensity,120.1,E6,1,5,A2780s
209,56.83451,5/16/2019 3:31:00 PM,100,75000,2,highDensity,120.1,E7,1,5,A2780s
210,83.84653,5/16/2019 3:31:00 PM,0,75000,3,highDensity,120.1,F2,1,5,A2780s
211,95.78630000000001,5/16/2019 3:31:00 PM,1,75000,3,highDensity,120.1,F3,1,5,A2780s
212,93.566265,5/16/2019 3:31:00 PM,10,75000,3,highDensity,120.1,F4,1,5,A2780s
213,87.12714499999998,5/16/2019 3:31:00 PM,25,75000,3,highDensity,120.1,F5,1,5,A2780s
214,74.596705,5/16/2019 3:31:00 PM,50,75000,3,highDensity,120.1,F6,1,5,A2780s
215,66.121045,5/16/2019 3:31:00 PM,100,75000,3,highDensity,120.1,F7,1,5,A2780s
216,70.38879,5/17/2019 5:08:00 PM,0,5000,1,lowDensity,145.716666666667,A2,1,6,A2780s
217,69.710915,5/17/2019 5:08:00 PM,1,5000,1,lowDensity,145.716666666667,A3,1,6,A2780s
218,38.78771,5/17/2019 5:08:00 PM,10,5000,1,lowDensity,145.716666666667,A4,1,6,A2780s
219,24.773130000000002,5/17/2019 5:08:00 PM,25,5000,1,lowDensity,145.716666666667,A5,1,6,A2780s
220,15.2202165,5/17/2019 5:08:00 PM,50,5000,1,lowDensity,145.716666666667,A6,1,6,A2780s
221,8.997193,5/17/2019 5:08:00 PM,100,5000,1,lowDensity,145.716666666667,A7,1,6,A2780s
222,89.84888,5/17/2019 5:08:00 PM,0,5000,2,lowDensity,145.716666666667,B2,1,6,A2780s
223,81.45398999999999,5/17/2019 5:08:00 PM,1,5000,2,lowDensity,145.716666666667,B3,1,6,A2780s
224,48.139520000000005,5/17/2019 5:08:00 PM,10,5000,2,lowDensity,145.716666666667,B4,1,6,A2780s
225,29.761245000000002,5/17/2019 5:08:00 PM,25,5000,2,lowDensity,145.716666666667,B5,1,6,A2780s
226,19.83052,5/17/2019 5:08:00 PM,50,5000,2,lowDensity,145.716666666667,B6,1,6,A2780s
227,8.198636,5/17/2019 5:08:00 PM,100,5000,2,lowDensity,145.716666666667,B7,1,6,A2780s
228,86.28938,5/17/2019 5:08:00 PM,0,5000,3,lowDensity,145.716666666667,C2,1,6,A2780s
229,93.89758,5/17/2019 5:08:00 PM,1,5000,3,lowDensity,145.716666666667,C3,1,6,A2780s
230,67.48795,5/17/2019 5:08:00 PM,10,5000,3,lowDensity,145.716666666667,C4,1,6,A2780s
231,33.460245,5/17/2019 5:08:00 PM,25,5000,3,lowDensity,145.716666666667,C5,1,6,A2780s
232,15.3185735,5/17/2019 5:08:00 PM,50,5000,3,lowDensity,145.716666666667,C6,1,6,A2780s
233,6.506307,5/17/2019 5:08:00 PM,100,5000,3,lowDensity,145.716666666667,C7,1,6,A2780s
234,99.99999,5/17/2019 5:08:00 PM,0,75000,1,highDensity,145.716666666667,D2,1,6,A2780s
235,99.998955,5/17/2019 5:08:00 PM,1,75000,1,highDensity,145.716666666667,D3,1,6,A2780s
236,99.99999,5/17/2019 5:08:00 PM,10,75000,1,highDensity,145.716666666667,D4,1,6,A2780s
237,99.5156,5/17/2019 5:08:00 PM,25,75000,1,highDensity,145.716666666667,D5,1,6,A2780s
238,94.4939,5/17/2019 5:08:00 PM,50,75000,1,highDensity,145.716666666667,D6,1,6,A2780s
239,52.89608,5/17/2019 5:08:00 PM,100,75000,1,highDensity,145.716666666667,D7,1,6,A2780s
240,99.99926500000001,5/17/2019 5:08:00 PM,0,75000,2,highDensity,145.716666666667,E2,1,6,A2780s
241,99.9982,5/17/2019 5:08:00 PM,1,75000,2,highDensity,145.716666666667,E3,1,6,A2780s
242,99.99999,5/17/2019 5:08:00 PM,10,75000,2,highDensity,145.716666666667,E4,1,6,A2780s
243,96.22853500000001,5/17/2019 5:08:00 PM,25,75000,2,highDensity,145.716666666667,E5,1,6,A2780s
244,82.749545,5/17/2019 5:08:00 PM,50,75000,2,highDensity,145.716666666667,E6,1,6,A2780s
245,63.823184999999995,5/17/2019 5:08:00 PM,100,75000,2,highDensity,145.716666666667,E7,1,6,A2780s
246,94.114665,5/17/2019 5:08:00 PM,0,75000,3,highDensity,145.716666666667,F2,1,6,A2780s
247,94.739525,5/17/2019 5:08:00 PM,1,75000,3,highDensity,145.716666666667,F3,1,6,A2780s
248,94.32008,5/17/2019 5:08:00 PM,10,75000,3,highDensity,145.716666666667,F4,1,6,A2780s
249,85.52706,5/17/2019 5:08:00 PM,25,75000,3,highDensity,145.716666666667,F5,1,6,A2780s
250,77.713595,5/17/2019 5:08:00 PM,50,75000,3,highDensity,145.716666666667,F6,1,6,A2780s
251,60.84505,5/17/2019 5:08:00 PM,100,75000,3,highDensity,145.716666666667,F7,1,6,A2780s
252,76.88128999999999,5/18/2019 4:23:00 PM,0,5000,1,lowDensity,168.966666666667,A2,1,7,A2780s
