,Date,DrugConcentration,Flank,MouseId,Time,TreatmentBranch,Volume
503,2020/02/20,0.0,Right,35,71,Ctrl,
504,2020/02/21,0.0,Right,35,72,Ctrl,1161.5
505,2020/02/22,0.0,Right,35,73,Ctrl,
506,2020/02/23,0.0,Right,35,74,Ctrl,
507,2020/02/24,0.0,Right,35,75,Ctrl,1216.0
508,2020/02/25,0.0,Right,35,76,Ctrl,
509,2020/02/26,0.0,Right,35,77,Ctrl,1264.8
510,2020/02/27,0.0,Right,35,78,Ctrl,
511,2020/02/28,0.0,Right,35,79,Ctrl,1440.1
512,2020/02/29,0.0,Right,35,80,Ctrl,
513,2020/03/01,0.0,Right,35,81,Ctrl,
514,2020/03/02,0.0,Right,35,82,Ctrl,1530.1
515,2020/03/03,0.0,Right,35,83,Ctrl,
516,2020/03/04,X,Right,35,84,Ctrl,1814.1
517,2020/03/05,X,Right,35,85,Ctrl,
