,r,K,v,d_A,alpha,phi,n,EC50,SSR
119,0.751151737034956,100.0,0.932556617852762,0.064731336229586,1.0,1.7869332265017923,1.5358126718983713,8.786771181045617,427.34237799119603
120,0.7774423035620704,100.0,0.919872084585244,0.0569632241023161,0.9170623592141334,1.543224945655184,1.6929852575006643,8.116151310907266,373.08340922225557
121,0.715173789062366,100.0,1.019283523590505,0.0352109914347242,1.0,1.2610724669733089,1.207075713281229,9.452705604965962,404.1036623051273
122,0.6918704286596015,96.87634621631663,1.25320168446042,0.0327744107640911,0.9588693102065554,1.2329878307664244,1.2958219193581455,8.090703563850488,283.58066612986966
123,0.7082354491207349,98.053178614988,1.0557650949122086,0.044687064983851,1.0,1.5069103448616612,1.7851581967760506,9.24872707212241,410.31569789425447
124,0.7770177117916774,100.0,0.8911454301222157,0.0350995824023594,1.0,1.3040454514052315,1.311072915822452,9.161325372594614,301.17450907003854
125,0.6876602744979463,100.0,1.1742838625423613,0.1421553751945518,0.6892646945097918,1.3475125745651058,2.08383901904976,7.457292825867649,385.414856610663
126,0.7071743461489861,99.99999999999925,1.0624880033714428,0.0651185632938214,0.7869015644877543,1.14259443696921,1.4245582533560235,6.625345495036719,253.8405288636641
127,0.7068011580653739,99.99999999999687,1.08040768792026,0.0490860089215717,1.0,1.5895417143893766,8.154000573959927,9.855318344123395,264.5166492645682
128,0.718175136688914,99.0962148880554,1.045186605467238,0.0425897179982736,1.0,1.310474585448064,1.157450641801995,9.33417573445075,288.96926939812545
129,0.8142804078676916,99.0334087830506,0.8157055113160944,0.0496930351207659,0.9720926299145946,1.5182127170565072,8.247164252163781,9.715688053384417,196.39892067870704
130,0.7040211151107404,97.90911446724937,1.113684509279191,0.0387389451905795,1.0,1.2561243935749176,0.8886065130220543,8.607272269212189,456.72768651495863
131,0.72230400200781,100.0,1.028826522491872,0.0584295071583714,0.9036200892536695,1.332828230518722,1.2030858695178912,8.215046243730576,472.9459781882045
132,0.7361677276133354,100.0,0.980598659625503,0.0458825096626233,0.99999999999977,1.5821406888042986,2.0386076172285796,9.515074022735424,307.9969327436641
133,0.6646321141978516,100.0,1.2509564949222194,0.067641750509162,0.9999999999999658,1.7454180318646475,1.1432780133912706,8.707516377734956,382.68184313057856
134,0.7177743539094216,99.57096103806109,1.0153948221141278,0.0673667398005022,0.9017342640712636,1.4348467127355684,1.4483500031352758,8.318658944676157,214.59769514896152
135,0.6846310744980902,98.22796091472225,1.197568361970488,0.0407429913786195,0.9531013420973444,1.352719616308777,0.9722192836256959,7.023915723270469,398.9235111705355
136,0.8084307893520657,100.0,0.8204423226383035,0.04887765189211,0.9999999999998188,1.634065680257894,1.9978116793129228,8.66121759100839,464.37391642290646
137,0.7140113324134586,100.0,1.0527247592314677,0.0489100463572657,0.8289023797298333,0.9868035813006298,1.1368116728307156,7.368911852765969,386.8816662952056
138,0.697201974375842,99.99999999999356,1.0980590482881385,0.0605581036026863,1.0,1.4713254867063823,0.877580430861093,8.68571966293764,223.73748208533038
139,0.7267151828195489,100.0,0.998779983779075,0.0421421390320611,1.0,1.3614548861548916,1.0496211025266973,9.587848259659712,371.03360760692
140,0.6838902536152445,97.70845027290686,1.2219877865943662,0.0491605017948901,0.8266370081643516,0.9325814343067677,1.0995460517311346,7.468121772531553,473.2631212720682
141,0.7186977834730447,100.0,1.0426737462492313,0.047633548528231,0.9585004102875686,1.3052904158621297,0.9250586667328655,8.834052052166454,294.57234026333236
142,0.7507742417811919,100.0,0.9445882005743192,0.063154270702229,0.8935292787866546,1.40109241922325,1.3414727275558571,8.416457792422863,280.78317802672774
143,0.6735793509574598,99.18799640823298,1.244235750895992,0.0392619706850203,0.999999999999998,1.4549472573186313,1.2215584859294095,9.050267234241106,350.49341226706935
144,0.6465651015377947,99.46116949555272,1.3350902917495655,0.1115259792128011,0.7822934900514982,1.4793217683509838,0.9463174790581154,6.121772289604377,285.70634161089333
